Ano,Pessoal e Encargos Sociais,Outras Despesas Correntes,Investimentos
1989,21346086511.5396,2235632372.96782,663178144.27206
1990,14455589660.1179,2174420307.34292,853409131.003714
1991,10638507122.6756,1950841333.72777,668912732.188236
1992,9630359292.40274,2155308467.5469,646756323.254416
1993,13232370732.0295,3167901984.14628,1142303541.93274
1994,18833729945.5274,4271140247.69488,1457343869.7519
1995,21598322945.5043,4119772669.06632,872401980.904349
1996,18475937805.42,4019485208.99897,507609378.260329
1997,18565980181.5283,3849280341.96431,393084749.25744
1998,18443225907.8754,3951034231.79504,168972356.789758
1999,20274522330.2178,2992171778.00698,183544557.866129
2000,20175290091.2154,3036368446.74543,282723711.401947
2001,18966743768.4917,3008129840.4136,233783713.512998
2002,20817499799.4286,2648546619.94777,163415334.617253
2003,19724357252.9993,2501739475.05146,222027200.444866
2004,22114688408.2551,3085160354.23542,308608749.181755
2005,20714471783.6976,3295664414.02951,458260895.343212
2006,25524612123.3659,3614516906.39113,618653534.986537
2007,26254040941.693,4143870636.41551,1184410133.51594
2008,28349613086.9408,4528477920.04882,1190857798.05666
2009,28667292051.181,5487383512.28131,2684194037.28004
2010,31669601267.2952,6993659113.28599,2816567897.58026
2011,32725403508.6934,7480157344.74481,3835027588.69616
2012,32984534973.4315,8198741513.5859,3572003688.18422
2013,35422022637.8526,9803402320.91378,3418919178.57654
2014,37766617329.7616,9148164933.48047,2691903732.07567
2015,38224753948.3447,7794758295.10578,788842326.130903
2016,38364858039.2335,8049724210.92238,609967908.33632
2017,41788390863.3327,7464881683.92888,368698806.213702
2018,42336373813.8623,7088655940.77385,289209386.174519
2019,43228398310.605,6691270926.60886,159468522.461676
